Sr_No,Date,StartUp,Vertical,SubVertical,Location,Investors,Round,Amount
209,2018-07-20,Housingman,Consumer Internet,Property Discovery Platform,Bangalore,Undisclosed,Seed/ Angel Funding,14.1645
210,2018-07-21,Paysense,Consumer Internet,Online Consumer Lending Platform,Mumbai,Payu & Others,Private Equity,169.97400000000002
211,2018-07-23,Yulu Bikes,Technology,Bicycle-Sharing Platform,Bangalore,Undisclosed,Seed/ Angel Funding,9.443
212,2018-07-23,Vtion,Technology,Media Analytics,Gurgaon,"Angellist, Rahul Khanna, Rajeev Arora  Ram Ramsundar.",Seed/ Angel Funding,2.6440400000000004
213,2018-07-23,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bangalore,"Metaform Ventures, Hemant Luthra, Micro Venture Capital Firm Gems Partners  Others",Seed/ Angel Funding,4.117148
214,2018-07-24,Kidovators,Ed-Tech,Skill Learning Platform,Bangalore,Gray Matters,Seed/ Angel Funding,1.69974
215,2018-07-24,Digit,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity,424.93500000000006
216,2018-07-25,Black Soil,Finance,Non-Banking Financial Company,Mumbai,"Allcargo Logistics, Navneet Education  Mahavir Agency",Private Equity,160.531
217,2018-07-25,Trell,Consumer Internet,Mobile-First Video Blogging App,Bangalore,"Beenext , Weh Ventures  Sprout Ventures",Seed/ Angel Funding,11.80375
218,2018-07-25,Iqlect,Technology,Data Analytics Firm,Bangalore,Ventureast  Exfinity,Seed/ Angel Funding,23.6075
219,2018-07-26,Entropik,It,Software-As-A-Service Platform,Bangalore,"Bharat Innovation, Idfc-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed/ Angel Funding,10.387300000000002
220,2018-07-26,Bitla Software,Technology,Travel-Focused Tech Startup,Bangalore,Makemytrip,Private Equity,9.443
221,2018-07-26,Thecapitalnet,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments Llc (Lfi),Private Equity,4.7215
222,2018-07-30,Shuttl,Consumer Internet,Bus Aggregation Platform,Gurgaon,Amazon Alexa Fund & Dentsu Ventures,Private Equity,103.87300000000002
223,2018-07-30,Cure Fit,Consumer Internet,Health And Fitness Platform,Bangalore,"Idg Ventures, Accel Partners, Kalaari Capital  Others",Private Equity,1133.16
224,2018-07-31,Five Star Group,Fin-Tech,Non-Bank Lending Platform For Sme,Chennai,"Tpg, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,944.3
225,2018-07-31,Healthsignz,Healthcare,Health And Well Being Platform,Hyderabad,Kantilal Patel,Seed/ Angel Funding,47.215
226,2018-06-01,Cointribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurgaon,"Sabre Partners, Puneet Dalmia & Others",Private Equity,94.43
227,2018-06-04,Digiconectt,Technology,Sales Analytics And Enablement Platform,Bangalore,Aspire Logistics Llc,Seed/ Angel Funding,1.180375
228,2018-06-04,Kashmir Box,E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Seed/ Angel Funding,9.443
229,2018-06-05,Crowdera,Finance,Online Crowdfunding Platform,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy  Manish Satnaliwala.",Seed/ Angel Funding,9.443
230,2018-06-05,Zoctr,Healthcare,Online Healthcare Aggregator,Mumbai,Nb Ventures  Others,Seed/ Angel Funding,9.443
231,2018-06-07,Annapurna Finance,Finance,Non-Banking Financial Company,Bhubneswar,Oman India Joint Investment Fund (Oijif),Private Equity,217.189
232,2018-06-07,Meesho,Consumer Internet,Online Marketplace For Resellers,Bangalore,"Sequoia Capital India, Saif Partners, Y Combinator  Venture Highway",Private Equity,108.5945
233,2018-06-10,Ayefinance,Finance,Online Lending Platform,Gurgaon,"Capitalg, Saif Partners  Lgt Impact Ventures",Private Equity,203.02450000000002
234,2018-06-11,Theranosis,Healthcare,Specialised Diagnostics Platform,Hyderabad,Mumbai Angels Network,Seed/ Angel Funding,9.443
235,2018-06-12,Alpha Capital,Finance,Supplychain Finance,Mumbai,Alpha Capital,Private Equity,139.7564
236,2018-06-12,Eshakti,E-Commerce,Fashion E-Tailer,Chennai,Paragon Partners,Private Equity,95.3743
237,2018-06-12,Daily Ninja,Consumer Internet,Hyperlocal Delivery Platform,Bangalore,Saama Capital  Sequoia Capital,Seed/ Angel Funding,28.329
238,2018-06-13,Nirogstreet,Healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,Gurgaon,"Spiral Ventures, Subho Ray  Samir Kumar",Seed/ Angel Funding,2.8329000000000004
239,2018-06-13,Nivesh,Finance,Mass Market Mutual Fund Investment Platform,Noida,"Letsventure, Rajan Anan, Basab Pradhan, Vivek Khare  Bijoy George",Seed/ Angel Funding,4.24935
240,2018-06-13,What'S Up Life,Consumer Internet,"A Local Discovery App For Dining-Out, Party, Leisure And Events",Gurgaon,Rannvijay Singha,Seed/ Angel Funding,9.443
241,2018-06-14,Homelane,Consumer Internet,Online Home Furnishing Solutions,Bangalore,Br Capital,Seed/ Angel Funding,32.57835
242,2018-06-14,Network Intelligence,Technology,Cybersecurity Specialist,Mumbai,Helix Investments,Private Equity,45.32640000000001
243,2018-06-18,Tynor Othontics,Healthcare,Prosthetics Manufacturers,Ch/igarh,Lighthouse Funds & Thuasne Participations,Private Equity,198.30300000000003
244,2018-06-18,Elucidata,It,Data Analytics (Saas),Delhi/Cambridge,Hyperplane Venture Capital  Several Angel Investors,Seed/ Angel Funding,16.0531
245,2018-06-19,Chrysalis,Ed-Tech,Education Services Provider,Pune,Menterra Venture & Artha Initiatives,Seed/ Angel Funding,9.443
246,2018-06-19,Rentsher,Consumer Internet,Online Rental Marketplace,Bangalore,"Shorooq Investments, Letsventure & Others",Seed/ Angel Funding,10.387300000000002
247,2018-06-20,Drip Capital,Finance,Trade Finance Firm,Mumbai,"Accel Partners, Sequoia India, Y Combinator  Others.",Private Equity,141.645
248,2018-06-22,Wickedride,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bangalore,"Sequoia Capital, Accel Partners & Raghunan Gangappa",Private Equity,85.93130000000001
249,2018-06-25,Policybazaar,Consumer Internet,Online Insurance Selling Platform,Gurgaon,Softbank Vision Fund & Info Edge (India) Ltd,Private Equity,1888.6
250,2018-06-25,Hipbar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bangalore,Diageo India,Private Equity,37.772
251,2018-06-25,Sqqrl,Finance,App-Based Investment Platform,Gurgaon,Equanimity Venture Fund,Seed/ Angel Funding,9.443
252,2018-06-26,Paytm,Technology,Digital Payment Platform,Noida,One 97 Communications,Private Equity,84.51485000000001
253,2018-06-26,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bangalore,"Accel Partners, Idg Venture, Endiya Partners, Pi Ventures, Vh Capital, Axilor Ventures  Binny Bansal",Private Equity,179.41700000000003
254,2018-06-27,Wow Express,Technology,E-Commerce Logistics Platform,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,42.493500000000004
255,2018-06-28,Front Desk Ai,Technology,An Ai Platform Offering Automated Customer Service Software,Bangalore,Speciale Invest & Others,Seed/ Angel Funding,10.387300000000002
256,2018-06-28,Edureka,Ed-Tech,Online Education Platform,Bangalore,Leo Capital,Seed/ Angel Funding,18.886
257,2018-06-29,Numeroseven,Technology,An Artificial Intelligence-Based Recruitment Platform,Kolkata,Shiva Gunapu & Others,Seed/ Angel Funding,9.443
258,2018-05-02,Opentap,Finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Seed / Angel Funding,4.24935
259,2018-05-02,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"B Capital, International Finance Corporation (Ifc), Accel Partners  Idg Ventures",Private Equity,207.74600000000004
260,2018-05-03,Disprz,It,Saas,Chennai,"Il&Fs Private Equity, Kae Capital & Others",Seed / Angel Funding,23.6075
261,2018-05-07,Paisadukan,Consumer Internet,P2P Lending Platform,Mumbai,Undisclosed,Seed / Angel Funding,2.124675
262,2018-05-09,I3Sysytems,Technology,Ai Product Company For Health And Life Insurane Companies,Mumbai,"Unitus Ventures, Behram Vakil  Jerxis Vrevala",Seed / Angel Funding,9.443
263,2018-05-11,Earth Food,Consumer Internet,Agri-Tech,Pune,Rairah Corporation,Seed / Angel Funding,8.961407
264,2018-05-14,Nykaa,Consumer Internet,Beauty E-Tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak  Others",Private Equity,226.632
265,2018-05-16,Mfine,Healthcare,Doctor-Consultation App,Bangalore,"Prime Venture Partners, Stellaris Venture Partners  Mayur Abhaya Srisrimal",Private Equity,39.6606
266,2018-05-21,Rocketium,Technology,Online Video Creation Platform,Bangalore,Blume Ventures,Seed/ Angel Funding,2.8329000000000004
267,2018-05-21,Milkbasket,Technology,Micro-Delivery Grocery Startup,Gurgaon,"Kalaari Capital, Unilever Ventures  Blume Ventures",Private Equity,66.101
268,2018-05-22,Vola,Finance,Micro Lending Platform,Bangalore,Credika  Unnamed Angel Investors,Seed/ Angel Funding,4.7215
269,2018-05-22,Cashkumar,Consumer Internet,P2P Lending Platform,Bangalore,Letsventure,Seed/ Angel Funding,6.940605
270,2018-05-23,Edyoo,E-Commerce,Products For Shoolgoing Children,Bangalore,Rs Shanbag,Seed/ Angel Funding,6.940605
271,2018-05-23,Aashiyaan,Finance,Housing Finance For Low-Income Families,Kolkata,"Insistor, Oikocredit",Seed/ Angel Funding,18.886
272,2018-05-24,Smartivity,Ed-Tech,Designer Of Toys And Learning Projects For Kids,New Delhi,"Ashish Kacholi, S Ch Group",Seed/ Angel Funding,18.886
273,2018-05-24,Bonphulapl,Clean-Tech,Oxygen Optimiser Manufacturer,New Delhi,Atul Gupta  Saurabh Rastogi,Seed/ Angel Funding,2.7667990000000002
274,2018-05-27,Acko,Consumer Internet,Online Insurance Platform,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, Nr Narayana Murthy.",Seed/ Angel Funding,113.316
275,2018-05-28,Hwell24,Healthcare,Home Healthcare Aggregator,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G  Bhavesh P, R Ranganathan, Oncotrust  Medintel Services Pvt. Ltd",Seed/ Angel Funding,1.8886
276,2018-05-29,Toffee,Consumer Internet,Online Insurance Platform,Gurgaon,"Kalaari Capital, Omidyar Network  Accion Venture Labs",Seed/ Angel Funding,14.1645
277,2018-05-29,Tonetag,Technology,Mobile Payments Technology Platform,Bangalore,Amazon Inc.  Mastercard,Private Equity,75.544
278,2018-05-30,Events High,Consumer Internet,Events And Activities Discovery Platform,Bangalore,Treebo,Private Equity,9.443
279,2018-05-30,Stellaps,Technology,Iot Application Platform In Agriculture,Bangalore,"Indusage Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, Abb Technology Ventures, Omnivore, Blume Ventures, Venture Highway  Beenext",Private Equity,132.202
280,2018-05-31,Credright,Consumer Internet,Lending Platform For Smes,Hyderabad,"Accion Venture Lab, Yournest Venture Capital And Other Angel Investors",Seed/ Angel Funding,12.275900000000002
281,2018-04-02,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,"Exfinity Venture, Saha Fund Partners, Arihant Patni Of Patni Family Office, Anjali Bansal, Shardul Amarch Mangaldas, Satish Khanna  Taparia Family Office.",Private Equity,18.886
282,2018-04-02,Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures  Mohit Khadaria,Seed / Angel Funding,2.9046668
283,2018-04-02,Benepik,Technology,Enhanced Employee Engagement Platform,Gurgaon,"Vishal Bali, Yogesh Misra, Thomas Assessments  Others",Seed / Angel Funding,9.443
284,2018-04-02,Finzy,Consumer Internet,Online Loan Matchmaking Platform,Bangalore,Undisclosed,Seed / Angel Funding,12.275900000000002
285,2018-04-04,Varthana,Finance,Loans And Services To Affordable Private Schools In India,Bangalore,"Chryscapital, Existing Investors, Elevar Equity, Lgt Impact, Omidyar Network  Kaizen Private Equity Also Participated In The Round",Private Equity,519.365
286,2018-04-05,Indigolearn,Ed-Tech,Online Education Platform,Hyderabad,"Maheshwar Peri, Founder  Chairman Of Career Information Portal Careers360,  Jamshed Jeejeebhoy, Director At Byramjee Jeejeebhoy Pvt. Ltd Were Among The Angels",Seed / Angel Funding,1.4164500000000002
287,2018-04-05,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,94.43
288,2018-04-09,Kaleidofin,Fiinance,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures  Professor Shlomo Ben-Haim,Seed / Angel Funding,26.440400000000004
289,2018-04-09,Pipabella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed / Angel Funding,9.443
290,2018-04-09,Elemential,Technology,Blockchain Platform,Mumbai,"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik  Others",Seed / Angel Funding,9.443
291,2018-04-09,Kriger Campus,Ed-Tech,Mobile-Based Education Network,New Delhi,Undisclosed,Seed / Angel Funding,0.43570002
292,2018-04-10,Loanzen,Finance,Digital Lending Platform In Logistics,Bangalore,Kae Capital Management,Seed / Angel Funding,9.443
293,2018-04-10,Traveltriangle,Consumer Internet,Online Travel Marketplace,Gurgaon,"Fundamentum, Saif Partners, Bessemer Venture Partners, Rb Investments & Others",Private Equity,113.316
294,2018-04-12,Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,New Delhi,"Sri Capital, Waterbridge Ventures  Thinkuvate",Seed / Angel Funding,9.443
295,2018-04-12,Ayefinance,Finance,Online Lending Platform,Gurgaon,"Blueorchard Finance Ltd, Hinduja Leyl Finance  Intellegrow",Debt Funding,43.4378
296,2018-04-13,Mintifi,Finance,Online Lending Platform,Mumbai,Lok Capital,Seed / Angel Funding,18.886
297,2018-04-16,Icanstay,Consumer Internet,Online Platform For Luxury Hotel Stay For Business Travelers,New Delhi,Mr. Manoj Prasad,Seed / Angel Funding,4.7215
298,2018-04-16,Pregbuddy,Healthcare,Connected Care App For Pregnant Women,Bangalore,"Rajan Anan, Madhusudhan Kannan, Jayant Kadambi, Puneet Gupta  Pradeep K Jaisingh",Seed / Angel Funding,9.443
299,2018-04-18,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,"International Finance Corporation, Transamerica  Others.",Private Equity,207.74600000000004
300,2018-04-19,Lenskart,Consumer Internet,Online Eyewear Retailer,Faridabad,Tr Capital,Private Equity,9.443
301,2018-04-19,Mamaearth,Healthcare,Online Baby Care Products,Gurgaon,Shilpa Shetty Kundra,Private Equity,9.443
302,2018-04-19,Fyle Technologies,Technology,Ai Based Expense Management Platform,Bangalore,Pravega Ventures  Beenext,Seed / Angel Funding,10.387300000000002
303,2018-04-19,True Balance,Technology,Mobile Balance Checking App,Gurgaon,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank  Ts Investment",Private Equity,217.189
304,2018-04-22,Visit,Healthcare,Ai Driven Health Tech Platform,New Delhi,"Biz Stone, Kunal Bahl, Rohit Bansal, Alagu Periyannan  Karthee Madasamy",Private Equity,9.443
305,2018-04-22,Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Mumbai,Vidal Healthcare,Seed / Angel Funding,17.9417
306,2018-04-22,Nykaa,Consumer Internet,Beauty E-Tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak  Others",Private Equity,103.87300000000002
307,2018-04-23,Mihuru,Finance,Online Platform Providing Micro Loans For Air Travel,Mumbai,Undisclosed,Seed / Angel Funding,1.4164500000000002
308,2018-04-23,Capital Float,Finance,Online Lending Platform,Bangalore,Amazon,Private Equity,207.74600000000004
309,2018-04-25,Trip Shelf,Consumer Internet,Online Travel Marketplace,New Delhi,"Gems Advisory, Alok Mittal  Sachin Bhatia",Seed / Angel Funding,2.322978
310,2018-04-26,Popxo,Technology,Women Focussed Digital Media Platform,New Delhi,"Neoplux, Oppo, Idg Ventures India, Kalaari Capital, Gree Ventures  Summit Media",Private Equity,51.93650000000001
311,2018-04-26,Railyatri,Consumer Internet,Online Travel Ticketing Platform,Noida,"Omidyar Network, Nan Nilekani, Blume Ventures, Helion Venture Partners",Private Equity,9.443
312,2018-04-27,1Mg,Consumer Internet,Online Pharmacy Store,Gurgaon,"Sequoia Capital, Maverick Capital Ltd  Hbm Healthcare Investments Ltd",Private Equity,94.43
313,2018-04-29,Rubique,Consumer Internet,Online Lending Marketplace,Mumbai,"Emery Capital, Blacksoil  Kalaari Capital",Private Equity,9.443
314,2018-04-30,Samco,Consumer Internet,Online Stock Broker,Mumbai,Bay Capital Investments  Others,Private Equity,70.8225
315,2018-04-30,Myloancare,Finance,B2C Online Loans Marketplace,Gurgaon,Sar Group,Seed / Angel Funding,9.235254
316,2018-03-01,Pharmeasy,Consumer Internet,Online Pharmacy Store,Mumbai,"Bessemer Venture Partners  Orios Venture Partners, Jm Financials  Memg",Private Equity,9.443
317,2018-03-01,Buddy4Studdy,Consumer Internet,Online Scholarship Portal,Noida,Cba Capital  Others,Private Equity,28.329
318,2018-03-01,Urban Ladder,E-Commerce,Online Furniture Store,Bangalore,"Sequoia Capital, Saif Partners  Kalaari Capital",Private Equity,113.316
319,2018-03-03,Kuvera,Consumer Internet,Online Financial Planning,Bangalore,"Baskar Subramanian, Saket Kumar, Gaurav Suri  Ankit Kesarwani",Seed / Angel Funding,2.36075
320,2018-03-04,Gramophone,Technology,Agri-Tech,Indore,Infoedge,Seed/Angel Funding,9.443
321,2018-03-05,Wellthy,Healthcare,Therapeutics,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,Growx Ventures",Private Equity,19.8303
322,2018-03-05,Medgenome,Healthcare,"Genetic Screening, Dna Diagnostics Labs & Research Centers",Bangalore,"Hdfc Life, Hdfc Asset Management",Private Equity,94.43
323,2018-03-05,Finova Capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,56.658
324,2018-03-05,Hotelogix,Technology,Cloud Based Online Hotel Management Software,Noida,"Vertex Ventures, Accel Partners  Saama Capital",Private Equity,47.215
325,2018-03-04,Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Seed / Angel Funding,10.387300000000002
326,2018-03-06,Ad2Pro,Technology,"Creative Design, Brand, Media And Technology Platform Solutions",Chennai,Avendus Finance Pvt. Ltd,Debt Funding,91.59710000000001
327,2018-03-06,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon Nv,Private Equity,71.7668
328,2018-03-08,Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global Advisors,Private Equity,362.61120000000005
329,2018-03-08,Magicpin,Consumer Internet,Hyperlocal Discovery,Gurgaon,Trifecta Capital,Debt Funding,9.443
330,2018-03-12,Healthcare,Consumer Internet,Healthcare Aggregator,Mumbai,Hr Fund,Seed / Angel Funding,9.443
331,2018-03-13,Pinelabs,Technology,Digital Payment Platform,Mumbai,"Actis, Altimeter Capital",Private Equity,774.3260000000001
332,2018-03-14,Stumagz,Consumer Internet,Online Communication And Collaboration Platform For Educational Institutions,Hyderabad,"Venkat Subramanian, Sudhakar Pennam,  Other Tech Investors From Silicon Valley",Seed / Angel Funding,9.443
